x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-121.74166666666667, 46.84166666666667, -121.78333333333333, 46.8, -121.7, 46.88333333333333, 5, 5014
-121.125, 40.225, -121.16666666666667, 40.18333333333334, -121.08333333333333, 40.266666666666666, 5, 4438
-121.825, 46.858333333333334, -121.86666666666667, 46.81666666666667, -121.78333333333333, 46.9, 5, 4026
-121.49166666666667, 46.19166666666666, -121.53333333333333, 46.15, -121.45, 46.233333333333334, 5, 3924
-123.70833333333334, 47.79166666666667, -123.75, 47.75, -123.66666666666667, 47.833333333333336, 5, 3489
-121.65833333333333, 46.84166666666667, -121.7, 46.8, -121.61666666666667, 46.88333333333333, 5, 3424
-122.19166666666666, 41.391666666666666, -122.23333333333333, 41.35, -122.15, 41.43333333333334, 5, 3344
-121.775, 44.108333333333334, -121.81666666666666, 44.06666666666667, -121.73333333333333, 44.15, 5, 3334
-121.575, 46.70833333333333, -121.61666666666667, 46.666666666666664, -121.53333333333333, 46.75, 5, 3248
-121.20833333333334, 40.25833333333333, -121.25, 40.21666666666667, -121.16666666666667, 40.3, 5, 3146
-120.65833333333333, 40.04166666666667, -120.7, 40.0, -120.61666666666667, 40.083333333333336, 5, 3139
-121.29166666666666, 47.69166666666666, -121.33333333333333, 47.65, -121.25, 47.733333333333334, 5, 3128
-121.975, 44.075, -122.01666666666667, 44.03333333333333, -121.93333333333334, 44.11666666666667, 5, 3112
-121.70833333333334, 45.358333333333334, -121.75, 45.31666666666667, -121.66666666666667, 45.4, 5, 3107
-120.70833333333334, 47.29166666666667, -120.75, 47.25, -120.66666666666667, 47.333333333333336, 5, 3098
-120.74166666666667, 47.925, -120.78333333333333, 47.88333333333333, -120.7, 47.96666666666667, 5, 3080
-122.44166666666666, 47.858333333333334, -122.48333333333333, 47.81666666666667, -122.4, 47.9, 5, 3060
-120.42500000000001, 44.375, -120.46666666666667, 44.333333333333336, -120.38333333333334, 44.416666666666664, 5, 3047
-123.625, 47.79166666666667, -123.66666666666667, 47.75, -123.58333333333333, 47.833333333333336, 5, 3002
-122.45833333333334, 47.575, -122.5, 47.53333333333333, -122.41666666666667, 47.61666666666667, 5, 2989
-122.17500000000001, 46.20833333333333, -122.21666666666667, 46.166666666666664, -122.13333333333334, 46.25, 5, 2986
-122.45833333333334, 47.724999999999994, -122.5, 47.68333333333333, -122.41666666666667, 47.766666666666666, 5, 2980
-122.24166666666667, 41.15833333333333, -122.28333333333333, 41.11666666666667, -122.2, 41.2, 5, 2962
-121.65833333333333, 40.04166666666667, -121.7, 40.0, -121.61666666666667, 40.083333333333336, 5, 2956
-121.575, 47.04166666666667, -121.61666666666667, 47.0, -121.53333333333333, 47.083333333333336, 5, 2887
-121.85833333333333, 41.00833333333333, -121.9, 40.96666666666667, -121.81666666666666, 41.05, 5, 2881
-120.775, 40.075, -120.81666666666666, 40.03333333333333, -120.73333333333333, 40.11666666666667, 5, 2854
-120.67500000000001, 47.84166666666667, -120.71666666666667, 47.8, -120.63333333333334, 47.88333333333333, 5, 2849
-121.90833333333333, 41.09166666666667, -121.95, 41.05, -121.86666666666667, 41.13333333333333, 5, 2842
-120.84166666666667, 42.525, -120.88333333333334, 42.483333333333334, -120.8, 42.56666666666666, 5, 2822
-121.99166666666667, 41.05833333333334, -122.03333333333333, 41.016666666666666, -121.95, 41.1, 5, 2820
-122.15833333333333, 41.09166666666667, -122.2, 41.05, -122.11666666666666, 41.13333333333333, 5, 2804
-121.59166666666667, 46.625, -121.63333333333334, 46.583333333333336, -121.55, 46.666666666666664, 5, 2783
-120.275, 41.30833333333334, -120.31666666666666, 41.266666666666666, -120.23333333333333, 41.35, 5, 2773
-120.475, 47.34166666666667, -120.51666666666667, 47.3, -120.43333333333334, 47.38333333333333, 5, 2770
-120.975, 47.108333333333334, -121.01666666666667, 47.06666666666667, -120.93333333333334, 47.15, 5, 2749
-120.30833333333334, 41.79166666666667, -120.35, 41.75, -120.26666666666667, 41.833333333333336, 5, 2741
-120.75833333333333, 40.225, -120.8, 40.18333333333334, -120.71666666666667, 40.266666666666666, 5, 2721
-121.375, 47.69166666666666, -121.41666666666667, 47.65, -121.33333333333333, 47.733333333333334, 5, 2717
-122.125, 46.29166666666667, -122.16666666666667, 46.25, -122.08333333333333, 46.333333333333336, 5, 2713
-120.35833333333333, 44.475, -120.4, 44.43333333333334, -120.31666666666666, 44.516666666666666, 5, 2701
-123.025, 40.975, -123.06666666666666, 40.93333333333334, -122.98333333333333, 41.016666666666666, 5, 2680
-120.94166666666666, 46.075, -120.98333333333333, 46.03333333333333, -120.9, 46.11666666666667, 5, 2663
-120.19166666666666, 41.15833333333333, -120.23333333333333, 41.11666666666667, -120.15, 41.2, 5, 2648
-120.59166666666667, 45.99166666666667, -120.63333333333334, 45.95, -120.55, 46.03333333333333, 5, 2647
-122.07499999999999, 41.141666666666666, -122.11666666666666, 41.1, -122.03333333333333, 41.18333333333334, 5, 2645
-122.32499999999999, 41.09166666666667, -122.36666666666666, 41.05, -122.28333333333333, 41.13333333333333, 5, 2641
-120.99166666666667, 40.04166666666667, -121.03333333333333, 40.0, -120.95, 40.083333333333336, 5, 2641
-120.49166666666667, 44.04166666666667, -120.53333333333333, 44.0, -120.45, 44.083333333333336, 5, 2640
-122.39166666666667, 47.391666666666666, -122.43333333333334, 47.35, -122.35, 47.43333333333333, 5, 2637
-121.15833333333333, 40.108333333333334, -121.2, 40.06666666666666, -121.11666666666667, 40.15, 5, 2631
-120.70833333333334, 44.44166666666666, -120.75, 44.4, -120.66666666666667, 44.483333333333334, 5, 2623
-120.54166666666666, 47.95833333333333, -120.58333333333333, 47.916666666666664, -120.5, 48.0, 5, 2617
-120.55833333333334, 47.425, -120.6, 47.38333333333333, -120.51666666666667, 47.46666666666667, 5, 2612
-120.625, 47.29166666666667, -120.66666666666667, 47.25, -120.58333333333333, 47.333333333333336, 5, 2608
-121.44166666666666, 46.50833333333333, -121.48333333333333, 46.46666666666667, -121.4, 46.55, 5, 2590
-122.625, 47.95833333333333, -122.66666666666667, 47.916666666666664, -122.58333333333333, 48.0, 5, 2580
-121.775, 41.00833333333333, -121.81666666666666, 40.96666666666667, -121.73333333333333, 41.05, 5, 2579
-121.625, 40.125, -121.66666666666667, 40.083333333333336, -121.58333333333333, 40.166666666666664, 5, 2579
-121.94166666666666, 40.975, -121.98333333333333, 40.93333333333334, -121.9, 41.016666666666666, 5, 2573
-121.80833333333334, 44.19166666666666, -121.85, 44.15, -121.76666666666667, 44.233333333333334, 5, 2572
-121.49166666666667, 46.69166666666666, -121.53333333333333, 46.65, -121.45, 46.733333333333334, 5, 2564
-120.70833333333334, 47.70833333333333, -120.75, 47.666666666666664, -120.66666666666667, 47.75, 5, 2564
-121.60833333333333, 46.54166666666667, -121.65, 46.5, -121.56666666666666, 46.583333333333336, 5, 2553
-120.34166666666667, 47.275000000000006, -120.38333333333334, 47.233333333333334, -120.3, 47.31666666666667, 5, 2544
-120.40833333333333, 44.05833333333334, -120.45, 44.016666666666666, -120.36666666666667, 44.1, 5, 2543
-122.39166666666667, 42.49166666666667, -122.43333333333334, 42.45, -122.35, 42.53333333333333, 5, 2536
-121.025, 46.125, -121.06666666666666, 46.083333333333336, -120.98333333333333, 46.166666666666664, 5, 2535
-121.125, 47.00833333333333, -121.16666666666667, 46.96666666666667, -121.08333333333333, 47.05, 5, 2526
-121.80833333333334, 44.675, -121.85, 44.63333333333333, -121.76666666666667, 44.71666666666667, 5, 2525
-120.30833333333334, 41.391666666666666, -120.35, 41.35, -120.26666666666667, 41.43333333333334, 5, 2515
-122.34166666666667, 42.69166666666666, -122.38333333333334, 42.65, -122.3, 42.733333333333334, 5, 2512
-121.225, 45.891666666666666, -121.26666666666667, 45.85, -121.18333333333334, 45.93333333333334, 5, 2510
-120.59166666666667, 44.40833333333333, -120.63333333333334, 44.36666666666667, -120.55, 44.45, 5, 2506
-121.525, 40.15833333333333, -121.56666666666666, 40.11666666666667, -121.48333333333333, 40.2, 5, 2505
-121.74166666666667, 46.925, -121.78333333333333, 46.88333333333333, -121.7, 46.96666666666667, 5, 2502
-121.89166666666667, 42.391666666666666, -121.93333333333334, 42.35, -121.85, 42.43333333333334, 5, 2493
-122.025, 40.975, -122.06666666666666, 40.93333333333334, -121.98333333333333, 41.016666666666666, 5, 2492
-122.07499999999999, 41.05833333333334, -122.11666666666666, 41.016666666666666, -122.03333333333333, 41.1, 5, 2484
-121.35833333333333, 43.891666666666666, -121.4, 43.85, -121.31666666666666, 43.93333333333334, 5, 2484
-120.50833333333333, 44.59166666666667, -120.55, 44.55, -120.46666666666667, 44.63333333333333, 5, 2481
-120.825, 46.00833333333333, -120.86666666666667, 45.96666666666667, -120.78333333333333, 46.05, 5, 2478
-120.65833333333333, 40.125, -120.7, 40.083333333333336, -120.61666666666667, 40.166666666666664, 5, 2478
-122.42500000000001, 47.474999999999994, -122.46666666666667, 47.43333333333333, -122.38333333333334, 47.516666666666666, 5, 2476
-120.34166666666667, 44.375, -120.38333333333334, 44.333333333333336, -120.3, 44.416666666666664, 5, 2474
-121.975, 44.15833333333333, -122.01666666666667, 44.11666666666667, -121.93333333333334, 44.2, 5, 2466
-122.17500000000001, 41.00833333333333, -122.21666666666667, 40.96666666666667, -122.13333333333334, 41.05, 5, 2461
-120.625, 47.75833333333333, -120.66666666666667, 47.71666666666667, -120.58333333333333, 47.8, 5, 2458
-120.17500000000001, 44.475, -120.21666666666667, 44.43333333333334, -120.13333333333334, 44.516666666666666, 5, 2456
-120.75833333333333, 47.84166666666667, -120.8, 47.8, -120.71666666666667, 47.88333333333333, 5, 2452
-121.20833333333334, 47.025000000000006, -121.25, 46.983333333333334, -121.16666666666667, 47.06666666666667, 5, 2449
-120.64166666666667, 47.45833333333333, -120.68333333333334, 47.416666666666664, -120.6, 47.5, 5, 2449
-121.94166666666666, 46.44166666666666, -121.98333333333333, 46.4, -121.9, 46.483333333333334, 5, 2441
-121.20833333333334, 47.55833333333334, -121.25, 47.516666666666666, -121.16666666666667, 47.6, 5, 2426
-121.69166666666666, 44.075, -121.73333333333333, 44.03333333333333, -121.65, 44.11666666666667, 5, 2423
-123.34166666666667, 47.724999999999994, -123.38333333333334, 47.68333333333333, -123.3, 47.766666666666666, 5, 2421
-122.14166666666667, 40.90833333333333, -122.18333333333334, 40.86666666666667, -122.1, 40.95, 5, 2420
-121.29166666666666, 47.775000000000006, -121.33333333333333, 47.733333333333334, -121.25, 47.81666666666667, 5, 2414
-120.67500000000001, 44.54166666666667, -120.71666666666667, 44.5, -120.63333333333334, 44.583333333333336, 5, 2414
-120.67500000000001, 45.99166666666667, -120.71666666666667, 45.95, -120.63333333333334, 46.03333333333333, 5, 2412
-121.69166666666666, 46.575, -121.73333333333333, 46.53333333333333, -121.65, 46.61666666666667, 5, 2411
-121.525, 45.108333333333334, -121.56666666666666, 45.06666666666667, -121.48333333333333, 45.15, 5, 2405
-120.29166666666666, 44.29166666666667, -120.33333333333333, 44.25, -120.25, 44.333333333333336, 5, 2405
-121.65833333333333, 44.44166666666666, -121.7, 44.4, -121.61666666666667, 44.483333333333334, 5, 2404
-122.05833333333334, 40.825, -122.1, 40.78333333333333, -122.01666666666667, 40.86666666666667, 5, 2403
-121.85833333333333, 40.54166666666667, -121.9, 40.5, -121.81666666666666, 40.583333333333336, 5, 2400
-121.74166666666667, 47.025000000000006, -121.78333333333333, 46.983333333333334, -121.7, 47.06666666666667, 5, 2400
-121.975, 43.99166666666667, -122.01666666666667, 43.95, -121.93333333333334, 44.03333333333333, 5, 2387
-120.79166666666666, 47.30833333333334, -120.83333333333333, 47.266666666666666, -120.75, 47.35, 5, 2381
-122.00833333333333, 42.45833333333333, -122.05, 42.416666666666664, -121.96666666666667, 42.5, 5, 2380
