x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-70.975, -27.525, -71.01666666666667, -27.566666666666666, -70.93333333333334, -27.483333333333334, 5, 4912
-70.99166666666667, -27.608333333333334, -71.03333333333333, -27.65, -70.95, -27.566666666666666, 5, 4542
-70.99166666666667, -27.441666666666666, -71.03333333333333, -27.483333333333334, -70.95, -27.4, 5, 4469
-70.875, -26.991666666666667, -70.91666666666667, -27.03333333333333, -70.83333333333333, -26.95, 5, 4273
-68.875, -27.875, -68.91666666666667, -27.916666666666668, -68.83333333333333, -27.833333333333332, 5, 4186
-70.50833333333333, -25.325, -70.55, -25.366666666666667, -70.46666666666667, -25.28333333333333, 5, 4172
-69.99166666666667, -31.458333333333336, -70.03333333333333, -31.5, -69.95, -31.416666666666668, 5, 4157
-67.75833333333333, -24.825000000000003, -67.8, -24.866666666666667, -67.71666666666667, -24.783333333333335, 5, 4130
-70.50833333333333, -25.225, -70.55, -25.266666666666666, -70.46666666666667, -25.183333333333334, 5, 4111
-66.04166666666666, -27.375, -66.08333333333333, -27.416666666666668, -66.0, -27.333333333333332, 5, 4088
-70.57499999999999, -24.075000000000003, -70.61666666666666, -24.116666666666667, -70.53333333333333, -24.033333333333335, 5, 4035
-71.05833333333334, -27.525, -71.1, -27.566666666666666, -71.01666666666667, -27.483333333333334, 5, 4004
-66.275, -27.491666666666667, -66.31666666666666, -27.53333333333333, -66.23333333333333, -27.45, 5, 4000
-71.025, -27.358333333333334, -71.06666666666666, -27.4, -70.98333333333333, -27.316666666666666, 5, 3994
-70.57499999999999, -24.15833333333333, -70.61666666666666, -24.2, -70.53333333333333, -24.116666666666667, 5, 3979
-70.775, -26.608333333333334, -70.81666666666666, -26.65, -70.73333333333333, -26.566666666666666, 5, 3960
-71.07499999999999, -27.608333333333334, -71.11666666666666, -27.65, -71.03333333333333, -27.566666666666666, 5, 3959
-70.82499999999999, -26.725, -70.86666666666666, -26.766666666666666, -70.78333333333333, -26.683333333333334, 5, 3958
-69.09166666666667, -26.941666666666666, -69.13333333333334, -26.983333333333334, -69.05, -26.9, 5, 3946
-70.70833333333334, -26.008333333333333, -70.75, -26.05, -70.66666666666667, -25.966666666666665, 5, 3932
-70.85833333333333, -27.65833333333333, -70.9, -27.7, -70.81666666666666, -27.616666666666667, 5, 3898
-70.89166666666667, -26.90833333333333, -70.93333333333334, -26.95, -70.85, -26.866666666666667, 5, 3895
-71.34166666666667, -29.875, -71.38333333333334, -29.916666666666668, -71.3, -29.833333333333332, 5, 3879
-71.39166666666667, -29.391666666666666, -71.43333333333334, -29.433333333333334, -71.35, -29.35, 5, 3868
-70.775, -26.525, -70.81666666666666, -26.566666666666666, -70.73333333333333, -26.483333333333334, 5, 3858
-70.54166666666666, -25.008333333333333, -70.58333333333333, -25.05, -70.5, -24.966666666666665, 5, 3855
-71.25833333333333, -28.375, -71.3, -28.416666666666668, -71.21666666666667, -28.333333333333332, 5, 3854
-70.59166666666667, -24.241666666666667, -70.63333333333334, -24.283333333333335, -70.55, -24.2, 5, 3844
-68.67500000000001, -27.075, -68.71666666666667, -27.116666666666667, -68.63333333333334, -27.03333333333333, 5, 3826
-70.75833333333333, -26.441666666666666, -70.8, -26.483333333333334, -70.71666666666667, -26.4, 5, 3822
-70.95833333333334, -27.041666666666664, -71.0, -27.083333333333332, -70.91666666666667, -27.0, 5, 3820
-70.725, -26.09166666666667, -70.76666666666667, -26.133333333333333, -70.68333333333334, -26.05, 5, 3816
-70.725, -26.325, -70.76666666666667, -26.366666666666667, -70.68333333333334, -26.28333333333333, 5, 3806
-67.375, -26.15833333333333, -67.41666666666667, -26.2, -67.33333333333333, -26.116666666666667, 5, 3801
-71.10833333333333, -27.691666666666666, -71.15, -27.733333333333334, -71.06666666666666, -27.65, 5, 3795
-71.025, -27.275, -71.06666666666666, -27.316666666666666, -70.98333333333333, -27.233333333333334, 5, 3794
-70.57499999999999, -25.40833333333333, -70.61666666666666, -25.45, -70.53333333333333, -25.366666666666667, 5, 3793
-71.35833333333333, -28.641666666666666, -71.4, -28.683333333333334, -71.31666666666666, -28.6, 5, 3784
-70.85833333333333, -26.808333333333334, -70.9, -26.85, -70.81666666666666, -26.766666666666666, 5, 3776
-69.19166666666666, -26.308333333333334, -69.23333333333333, -26.35, -69.15, -26.266666666666666, 5, 3766
